file,pair,correct,total,accuracy
parallel_corpus_1977,de-fr,166,170,0.9765
parallel_corpus_1977,de-it,168,170,0.9882
parallel_corpus_1977,fr-it,168,170,0.9882
parallel_corpus_1985,de-fr,68,68,1.0
parallel_corpus_1985,de-it,68,68,1.0
parallel_corpus_1985,de-rm,68,68,1.0
parallel_corpus_1985,fr-it,68,68,1.0
parallel_corpus_1985,fr-rm,68,68,1.0
parallel_corpus_1985,it-rm,68,68,1.0
parallel_corpus_2007,de-fr,82,85,0.9647
parallel_corpus_2007,de-it,83,85,0.9765
parallel_corpus_2007,de-rm,82,85,0.9647
parallel_corpus_2007,fr-it,82,85,0.9647
parallel_corpus_2007,fr-rm,82,85,0.9647
parallel_corpus_2007,it-rm,82,85,0.9647
OVERALL,de-fr,316,323,0.9783
OVERALL,de-it,319,323,0.9876
OVERALL,de-rm,150,153,0.9804
OVERALL,fr-it,318,323,0.9845
OVERALL,fr-rm,150,153,0.9804
OVERALL,it-rm,150,153,0.9804
