file,pair,correct,total,accuracy
parallel_corpus_1977,de-fr,69,182,0.3791
parallel_corpus_1977,de-it,70,182,0.3846
parallel_corpus_1977,fr-it,52,182,0.2857
parallel_corpus_1985,de-fr,50,69,0.7246
parallel_corpus_1985,de-it,50,69,0.7246
parallel_corpus_1985,de-rm,45,69,0.6522
parallel_corpus_1985,fr-it,50,69,0.7246
parallel_corpus_1985,fr-rm,44,69,0.6377
parallel_corpus_1985,it-rm,50,69,0.7246
parallel_corpus_2007,de-fr,87,105,0.8286
parallel_corpus_2007,de-it,87,105,0.8286
parallel_corpus_2007,de-rm,71,105,0.6762
parallel_corpus_2007,fr-it,93,105,0.8857
parallel_corpus_2007,fr-rm,77,105,0.7333
parallel_corpus_2007,it-rm,75,105,0.7143
OVERALL,de-fr,206,356,0.5787
OVERALL,de-it,207,356,0.5815
OVERALL,de-rm,116,174,0.6667
OVERALL,fr-it,195,356,0.5478
OVERALL,fr-rm,121,174,0.6954
OVERALL,it-rm,125,174,0.7184
