filename,date,year,month,day,language,pages
"Erläuterung_des_Bundesrates_(28.09.1997)(PDF,_376_kB,_28.09.1997).pdf",1997-09-28,1997,9,28,de,5
"Erläuterungen_des_Bundesrates_(01.04.1990)(PDF,_2_MB,_01.04.1990).pdf",1990-04-01,1990,4,1,de,80
"Erläuterungen_des_Bundesrates_(01.06.2008)(PDF,_305_kB,_08.04.2008).pdf",2008-06-01,2008,6,1,de,40
"Erläuterungen_des_Bundesrates_(01.12.1985)(PDF,_2_MB,_01.12.1985).pdf",1985-12-01,1985,12,1,de,4
"Erläuterungen_des_Bundesrates_(01.12.1996)(PDF,_1_MB,_01.12.1996).pdf",1996-12-01,1996,12,1,de,24
"Erläuterungen_des_Bundesrates_(02.03.1980)(PDF,_2_MB,_02.03.1980).pdf",1980-03-02,1980,3,2,de,4
"Erläuterungen_des_Bundesrates_(02.06.1991)(PDF,_733_kB,_02.06.1991).pdf",1991-06-02,1991,6,2,de,24
"Erläuterungen_des_Bundesrates_(02.06.2002)(PDF,_209_kB,_02.06.2002).pdf",2002-06-02,2002,6,2,de,16
"Erläuterungen_des_Bundesrates_(02.12.1984)(PDF,_5_MB,_02.12.1984).pdf",1984-12-02,1984,12,2,de,8
"Erläuterungen_des_Bundesrates_(02.12.2001)(PDF,_293_kB,_02.12.2001).pdf",2001-12-02,2001,12,2,de,46
"Erläuterungen_des_Bundesrates_(03.03.1991)(PDF,_1_MB,_03.03.1991).pdf",1991-03-03,1991,3,3,de,16
"Erläuterungen_des_Bundesrates_(03.03.2002)(PDF,_339_kB,_03.03.2002).pdf",2002-03-03,2002,3,3,de,24
"Erläuterungen_des_Bundesrates_(03.03.2013)(PDF,_1_MB,_03.03.2013).pdf",2013-03-03,2013,3,3,de,40
"Erläuterungen_des_Bundesrates_(03.03.2024)(PDF,_741_kB,_10.07.2024).pdf",2024-03-03,2024,3,3,de,32
"Erläuterungen_des_Bundesrates_(03.12.1978)(PDF,_20_MB,_03.12.1978).pdf",1978-12-03,1978,12,3,de,32
"Erläuterungen_des_Bundesrates_(04.03.2001)(PDF,_91_kB,_04.03.2001).pdf",2001-03-04,2001,3,4,de,18
"Erläuterungen_des_Bundesrates_(04.03.2018)(PDF,_855_kB,_11.04.2018).pdf",2018-03-04,2018,3,4,de,32
"Erläuterungen_des_Bundesrates_(04.06.1989)(PDF,_2_MB,_04.06.1989).pdf",1989-06-04,1989,6,4,de,4
"Erläuterungen_des_Bundesrates_(04.12.1983)(PDF,_2_MB,_04.12.1983).pdf",1983-12-04,1983,12,4,de,4
"Erläuterungen_des_Bundesrates_(04.12.1988)(PDF,_7_MB,_04.12.1988).pdf",1988-12-04,1988,12,4,de,12
"Erläuterungen_des_Bundesrates_(04.12.1994)(PDF,_2_MB,_04.12.1994).pdf",1994-12-04,1994,12,4,de,64
"Erläuterungen_des_Bundesrates_(05.04.1981)(PDF,_3_MB,_05.04.1981).pdf",1981-04-05,1981,4,5,de,4
"Erläuterungen_des_Bundesrates_(05.04.1987)(PDF,_9_MB,_05.04.1987).pdf",1987-04-05,1987,4,5,de,16
"Erläuterungen_des_Bundesrates_(05.06.2005)(PDF,_635_kB,_05.06.2005).pdf",2005-06-05,2005,6,5,de,78
"Erläuterungen_des_Bundesrates_(05.06.2016)(PDF,_719_kB,_05.06.2016).pdf",2016-06-05,2016,6,5,de,88
"Erläuterungen_des_Bundesrates_(06.06.1982)(PDF,_16_MB,_06.06.1982).pdf",1982-06-06,1982,6,6,de,24
"Erläuterungen_des_Bundesrates_(06.06.1993)(PDF,_548_kB,_06.06.1993).pdf",1993-06-06,1993,6,6,de,16
"Erläuterungen_des_Bundesrates_(06.12.1987)(PDF,_21_MB,_06.12.1987).pdf",1987-12-06,1987,12,6,de,20
"Erläuterungen_des_Bundesrates_(06.12.1992)(PDF,_1_MB,_06.12.1992).pdf",1992-12-06,1992,12,6,de,64
"Erläuterungen_des_Bundesrates_(07.02.1999)(PDF,_470_kB,_07.02.1999).pdf",1999-02-07,1999,2,7,de,32
